Year,Demand forecast,Industry,Transport,Building,Power,TOTAL DEMAND (in TWh/year)
2030,Guidehouse - EHB (2021),294,21,12,12,339
2030,Deloitte/CHJU - Conservative (2023),266,13,0,0,279
2030,Deloitte/CHJU - Moderate (2023),303,30,0,0,333
2030,Deloitte/CHJU - Ambitious (2023),353,35,0,0,388
2030,CHJU Roadmap - BAU (2019),427,9,30,15,481
2030,CHJU Roadmap - Ambitious (2019),497,70,33,65,665
2030,Aurora - Low (2021),400.32,4,12.51,0,416.83
2030,Aurora - Central (2021),451,18,23,0,492
2030,Aurora - High (2021),484.72,58.40000000000001,40.88,0,584
2030,ENTSOG - Distributed (2022),200,33,57,0,290
2030,ENTSOG - Global Ambition (2022),224,53,45,0,322
2030,BP - Net-zero (2020),315.1263404487436,17.0101689094543,16.54185991390804,0,348.678369272106
2030,CAN - 1.5°C (2020),445.305664436963,321.8752251520344,0,0,767.1808895889974
2030,DNV - Net-zero (2021),292.1356961495654,1.760875787640884,9.612301309974907,0,303.5088732471812
2030,EUCalc - Tech (2020),262.9696335459474,49.78235820521908,0,0,312.7519917511664
2030,IFS - 1.5 scenario (2019),279.479673302409,154.2366613833651,18.05570455742158,15.82913813771402,467.6011773809097
2030,JRC TIMES - Net-zero (2021),283.8217356647311,207.6869371030865,0.8340840847513513,0,492.342756852569
2030,JRC - GECO (2021),269.6348900161627,0.06788350281842262,34.54050724440775,0,304.2432807633888
2030,McKinsey - Cost Optimal (2020),262.9696335459474,15.01351351351351,0,0,277.9831470594609
2030,McKinsey - Breakthrough (2020),271.310474386788,15.01351351351351,15.01351351351351,0,301.3375014138149
2030,EC - Fit-for-55 (2022),129.987,93.32399999999998,0,0,223.311
2030,EC - REPowerEU (2022),386.628,169.983,76.65899999999999,36.663,669.933
2040,Guidehouse - EHB (2021),857,141,53,301,1352
2040,Deloitte/CHJU - Conservative (2023),284,106,0,0,390
2040,Deloitte/CHJU - Moderate (2023),397,210,59,0,666
2040,Deloitte/CHJU - Ambitious (2023),552,278,145,0,975
2040,ENTSOG - Distributed (2022),563,300,166,210,1239
2040,ENTSOG - Global Ambition (2022),514,387,363,226,1490
2040,BP - Net-zero (2020),373.8816367352372,412.9531788057463,153.9635769533989,0,940.7983924943824
2040,CAN - 1.5°C (2020),645.1796779146107,582.7083612375854,0,0,1227.888039152196
2040,DNV - Net-zero (2021),513.5652626100572,140.1836959410296,102.6313998538054,0,756.3803584048921
2040,EUCalc - Tech (2020),263.8871706665524,123.8079613488106,0,0,387.695132015363
2040,IFS - 1.5 scenario (2019),413.0479836627155,216.7573336586262,151.0866650448457,162.1334419501775,943.0254243163648
2040,JRC TIMES - Net-zero (2021),587.9843985707239,586.3611115802,0.2780280282504504,0,1174.623538179174
2040,JRC - GECO (2021),310.6455975287282,188.8488966147076,27.21030750499738,0,526.7048016484332
2040,EC - Fit-for-55 (2022),547.8526823360178,351.2052093225836,84.40781890161043,26.78422136761001,1010.249931927822
2050,Guidehouse - EHB (2021),1200,285,155,626,2266
2050,Deloitte/CHJU - Conservative (2023),341,202,0,0,543
2050,Deloitte/CHJU - Moderate (2023),494,388,212,0,1094
2050,Deloitte/CHJU - Ambitious (2023),725,526,494,0,1745
2050,CHJU Roadmap - BAU (2019),445,85,207,43,780
2050,CHJU Roadmap - Ambitious (2019),885,675,579,112,2251
2050,Aurora - Low (2021),423.72,70.62,147.66,0,642
2050,Aurora - Central (2021),545.4000000000001,242.4,222.2,0,1010
2050,Aurora - High (2021),745.55,745.55,523.9,0,2015
2050,ENTSOG - Distributed (2022),759,547,199,240,1745
2050,ENTSOG - Global Ambition (2022),776,715,462,477,2430
2050,EC - Baseline (2018),0,198,0,0,198
2050,EC - Energy Efficiency (2018),0,264,0,231,495
2050,EC - Circularity (2018),0,297,0,198,495
2050,EC - Electrification (2018),0,330,0,198,528
2050,EC - Hydrogen (2018),1584,1584,1221,429,4818
2050,EC - PtoX (2018),165,297,0,396,858
2050,EC - COMBO (2018),495,660,231,264,1650
2050,EC - 1.5TECH (2018),957,1056,231,297,2541
2050,EC - 1.5LIFE (2018),858,924,231,264,2277
2050,EC - MIX (2020),528,1155,429,66,2178
2050,JRC - LCEO Net Zero (2020),528,1782,0,792,3102
2050,BP - Net-zero (2020),528.835319743277,559.1668123557972,309.9510346828716,0,1397.953166781946
2050,CAN - 1.5°C (2020),630.1339174076802,621.8630056704826,0,0,1251.996923078163
2050,DNV - Net-zero (2021),749.5556496397624,433.2594796324561,191.4364210454643,0,1374.251550317683
2050,EUCalc - Tech (2020),265.0236949295408,168.4139445756114,0,0,433.4376395051522
2050,IFS - 1.5 scenario (2019),450.680282422565,203.895335459022,181.0787147760521,253.0965957807414,1088.75092843838
2050,JRC TIMES - Net-zero (2021),674.451115356614,856.0482989831369,0,0,1530.499414339751
2050,JRC - GECO (2021),295.5366828880306,332.8719139497157,10.25247723366887,0,638.6610740714151
2050,McKinsey - Cost Optimal (2020),328.0281921045059,595.5360360360361,225.2027027027027,121.1154676175793,1269.882398460824
2050,McKinsey - Breakthrough (2020),708.3705344468483,595.5360360360361,580.5225225225225,155.1396396396396,2039.568732645047
2050,EC - Fit-for-55 (2021),919.1774848286058,549.7131605604145,350.5340141147918,73.23214460701435,1892.656804110826
